Môn học,Lớp,Chủ đề,Thể loại,Câu hỏi,Câu trả lời,Hướng dẫn giải
Toán,9,Đại số,Lý thuyết,Bất đẳng thức là gì ?,"Ta gọi hệ thức dạng a > b (hay a < b, a ≥ b, a ≤ b), được gọi là bất đẳng thức và a được gọi là vế trái, b được gọi là vế phải của bất đẳng thức.
Ví dụ:  -6<-4
Vế trái là –6, vế phải là –4;",
Toán,9,Đại số,Lý thuyết,Tính chất bắc cầu của bất đẳng thức,Nếu a < b và b < c thì a < c ,
Toán,9,Đại số,Lý thuyết,Bất phương trình bậc nhất một ẩn là gì ?,"Bất phương trình dạng ax + b < 0 (hoặc ax + b > 0, ax + b ≤ 0, ax + b ≥ 0), trong đó a, b là hai số đã cho, a ≠ 0 được gọi là bất phương trình bậc nhất một ẩn (ẩn x).
Ví dụ : –2x+4 ≤ 0",
Toán,9,Đại số,Lý thuyết,Nghiệm của bất phương trình bậc nhất một ẩn là gì ?,Số x0 là một nghiệm của bất phương trình A(x) > B(x) nếu A(x0) > B(x0) là khẳng định đúng.,
Toán,9,Đại số,Lý thuyết,Cách giải bất phương trình bậc nhất một ẩn,"Bất phương trình bậc nhất một ẩn ax + b > 0 (a ≠ 0) được giải như sau:
ax + b < 0
ax < −b
Nếu a > 0 thì  x<-b/a
Nếu a < 0 thì x>-b/a",
Toán,9,Đại số,Lý thuyết,Cách nhân căn bậc 2 với căn bậc 2,"Với A, B là các biểu thức không âm, ta có √A.√B=√AB
Ví dụ: √16.√4=√16.4=√64=8.",
Toán,9,Đại số,Lý thuyết,Cách đưa thừa số ra ngoài dấu căn,"Nếu a là một số và b là một số không âm thì √(a2.b)=|a|√b
√(32.2) = |3|.√2",
Toán,9,Đại số,Lý thuyết,Cách đưa thừa số vào trong dấu căn,"Nếu a và b là hai số không âm thì a√b=√(a2b)
Ví dụ: 5√3=√(523)=√75
Nếu a là số âm và b là số không âm thì -a√b=−√(a2b)
Ví dụ : −3√a=−√(32.a)=−√9a với a ≥ 0.
",
Toán,9,Đại số,Lý thuyết,Căn bậc ba là gì ?,"Căn bậc ba của số thực a là số thực x thỏa mãn x3 = a.
3√−8=−2    vì (−2)3 = −8.",
Toán,9,HÌnh học,Lý thuyết,Khái niệm tỉ số lượng giác của một góc nhọn,"Cho góc nhọn α. Xét tam giác ABC vuông tại A có góc nhọn B bằng α.
Ta có:
• Tỉ số giữa cạnh đối và cạnh huyền gọi là sin của α, kí hiệu sin α.
• Tỉ số giữa cạnh kề và cạnh huyền gọi là côsin của α, kí hiệu cos α.
• Tỉ số giữa cạnh đối và cạnh kề của góc α gọi là tang của α, kí hiệu tan α.
• Tỉ số giữa cạnh kề và cạnh đối của góc α gọi là côtang của α, kí hiệu cot α.",
Toán,9,HÌnh học,Lý thuyết,Công thức sinα,sinα = cạnh đối / cạnh kề ,
Toán,9,HÌnh học,Lý thuyết,Công thức cosα,cosα = cạnh kề / cạnh huyền,
Toán,9,HÌnh học,Lý thuyết,Công thức tanα,tanα = cạnh đối / cạnh kề,
Toán,9,HÌnh học,Lý thuyết,Công thức cotα,cotα = cạnh kề / cạnh đối = 1/tanα,
Toán,9,HÌnh học,Lý thuyết,sin30 bằng bao nhiêu ?,"0,5",
Toán,9,HÌnh học,Lý thuyết,sin45 bằng bao nhiêu ?,(√2)/2,
Toán,9,HÌnh học,Lý thuyết,sin60 bằng bao nhiêu ?,(√3)/2,
Toán,9,HÌnh học,Lý thuyết,cos30 bằng bao nhiêu ?,(√3)/2,
Toán,9,HÌnh học,Lý thuyết,cos45 bằng bao nhiêu ?,(√2)/2,
Toán,9,HÌnh học,Lý thuyết,cos60 bằng bao nhiêu ?,"0,5",
Toán,9,HÌnh học,Lý thuyết,tan30 bằng bao nhiêu ?,(√3)/3,
Toán,9,HÌnh học,Lý thuyết,tan45 bằng bao nhiêu ?,1,
Toán,9,HÌnh học,Lý thuyết,tan60 bằng bao nhiêu ?,√3,
Toán,9,HÌnh học,Lý thuyết,cot30 bằng bao nhiêu ?,√3,
Toán,9,HÌnh học,Lý thuyết,cot45 bằng bao nhiêu ?,1,
Toán,9,HÌnh học,Lý thuyết,cot60 bằng bao nhiêu ?,(√3)/3,
Toán,9,HÌnh học,Lý thuyết,Định lí Pythagore,a2 = b2 + c2,
Toán,9,HÌnh học,Lý thuyết,Đường tròn là gì ?,"Đường tròn tâm O bán kính R (R > 0), kí hiệu là (O; R), là hình gồm tất cả các điểm cách điểm O một khoảng bằng R.
Nếu A là một điểm của đường tròn (O) thì ta viết A ∈ (O). Khi đó, ta còn nói đường tròn (O) đi qua điểm A, hay điểm A nằm trên đường tròn (O).",
Toán,9,HÌnh học,Lý thuyết,Đối xứng tâm của đường tròn,"Hai điểm M và M’ gọi là đối xứng với nhau qua điểm I (hay qua tâm I) nếu I là trung điểm của đoạn thẳng MM’ .
Chẳng hạn, nếu O là giao điểm hai đường chéo của hình bình hành ABCD thì OA = OC nên A và C đối xứng với nhau qua O. Tương tự, B và D đối xứng với nhau qua O
",
Toán,9,HÌnh học,Lý thuyết,Đối xứng trục của đường tròn,"Hai điểm M và M’ gọi là đối xứng với nhau qua đường thẳng d (hay qua trục d) nếu d là đường trung trực của đoạn thẳng MM’.
Chẳng hạn, nếu AH là đường cao trong tam giác ABC cân tại A thì AH cũng là đường trung trực của BC, nên B và C đối xứng với nhau qua AH ",
Toán,9,HÌnh học,Lý thuyết,Tâm và trục đối xứng của đường tròn,"Đường tròn là hình có tâm đối xứng; tâm của đường tròn là tâm đối xứng của nó.
Đường tròn là hình có trục đối xứng; mỗi đường thẳng qua tâm của đường tròn là một trục đối xứng của nó.
",
Toán,9,HÌnh học,Lý thuyết,Khái niệm dây của đường tròn ,Đoạn thẳng nối hai điểm tùy ý của một đường tròn gọi là một dây (hay dây cung) của đường tròn.,
Toán,9,HÌnh học,Lý thuyết,Khái niệm đường kính của đường tròn, Mỗi dây đi qua tâm là một đường kính của đường tròn. Dễ thấy đường kính của đường tròn bán kính R có độ dài bằng 2R,
Toán,9,HÌnh học,Lý thuyết,Cách xác định số đo của một cung,"Số đo của một cung được xác định như sau:
– Số đo của nửa đường tròn bằng 180°.
– Số đo của cung nhỏ bằng số đo của góc ở tâm chắn cung đó.
– Số đo của cung lớn bằng hiệu giữa 360° và số đo của cung nhỏ có chung hai mút.",
Toán,9,HÌnh học,Lý thuyết,Công thức độ dài của cung tròn,"Công thức tính độ dài C của đường tròn (O; R), đường kính d = 2R là: C = πd = 2πR
Công thức tính độ dài l của cung n° trên đường tròn (O; R) là: l = (n/180)πR",
Toán,9,HÌnh học,Lý thuyết,Khi nào đường thẳng cắt và đường tròn cắt nhau ?,Đường thẳng a và đường tròn (O) gọi là cắt nhau nếu chúng có đúng hai điểm chung ,
Toán,9,HÌnh học,Lý thuyết,Khi nào đường thẳng cắt và đường tròn tiếp xúc nhau ?,"Đường thẳng a và đường tròn (O) gọi là tiếp xúc nhau nếu chúng có duy nhất một điểm chung H. Điểm chung ấy gọi là tiếp điểm. Khi đó, đường thẳng a còn gọi là tiếp tuyến của đường tròn (O) tại H",
Toán,9,HÌnh học,Lý thuyết,Khi nào đường thẳng cắt và đường tròn không giao nhau ?,Đường thẳng a và đường tròn (O) gọi là không giao nhau nếu chúng không có điểm chung ,
Toán,9,HÌnh học,Lý thuyết,Hai đường tròn cắt nhau khi nào ?,"Nếu hai đường tròn có đúng hai điểm chung thì ta nói đó là hai đường tròn cắt nhau. Hai điểm chung gọi là hai giao điểm của chúng.
Ta thấy hai đường tròn (O; R) và (O’; R’) cắt nhau khi: 
R – R’ < OO’ < R + R’ (với R > R’).",
Toán,9,HÌnh học,Lý thuyết,Hai đường tròn tiếp xúc nhau khi nào ?,"Nếu hai đường tròn có duy nhất một điểm chung thì ta nói đó là hai đường tròn tiếp xúc nhau. Điểm chung gọi là tiếp điểm của chúng.
Hai đường tròn (O; R) và (O’; R’) tiếp xúc ngoài khi OO’ = R + R’, và tiếp xúc trong khi OO’ = R – R’ (R > R’).",
Toán,9,HÌnh học,Lý thuyết,Hai đường tròn không giao nhau khi nào ?,Nếu hai đường tròn không có điểm chung nào thì ta nói đó là hai đường tròn không giao nhau.,
Toán,9,HÌnh học,Bài tập,"Xác định vị trí tương đối giữa hai đường tròn (I; R) và (I’; R’) trong mỗi trường hợp II’ = 6 cm; R = 9 cm; R’ = 2 cm.
","Đường tròn (I; 9 cm) đựng đường tròn (I’; 2 cm)
","Ta có R – R’ = 9 – 2 = 7 (cm).
Suy ra II’ < R – R’.
Vậy đường tròn (I; 9 cm) đựng đường tròn (I’; 2 cm).
"
Toán,9,HÌnh học,Bài tập,"Nếu hai đường tròn không giao nhau thì số điểm chung của hai đường tròn là:
A. 1
B. 2
C. 3
D. 0", D,Nếu hai đường tròn không có điểm chung nào thì ta nói đó là hai đường tròn không giao nhau.
Toán,9,HÌnh học,Bài tập,"Xác định vị trí tương đối của hai đường tròn (O; R) và (O’; R’) trong mỗi trường hợp  OO’ = 20; R = 8; R’ = 4.
","(O; R) và (O’; R’) ở ngoài nhau
","Ta có 20 > 8 + 4 nên OO’ > R + R’, suy ra hai đường tròn (O; R) và (O’; R’) ở ngoài nhau.
"
Toán,9,HÌnh học,Bài tập,"Cho đường tròn (G; 7 cm) và đường thẳng a và d là khoảnh cách từ G đến a. Không vẽ hình, xác định vị trí tương đối của đường thẳng m và đường tròn (G; 7 cm) trong mỗi trường hợp  d = 5 cm
", Cắt nhau,"Ta có d = 5 cm; R = 7 cm.
Vì d < R nên đường thẳng a và đường tròn (G; 7 cm) cắt nhau tại hai điểm
"
Toán,9,HÌnh học,Bài tập,"Điểm K nằm trong đường tròn (O; R) khi:
A. OK < R
B. OK > R
C. OK = R
D. OK ≠ R",A,Điểm K nằm trong đường tròn (O; R) nếu OK < R.
Toán,9,HÌnh học,Bài tập,"Khẳng định nào sau đây là đúng?
A. Đường tròn có một trục đối xứng;
B. Đường tròn có vô số trục đối xứng;
C. Đường tròn có một tâm đối xứng duy nhất;
D. Chỉ B, C đúng.",D,"Mỗi đường thẳng đi qua tâm của đường tròn là một trục đối xứng của đường trn đó.
Do đó phương án B đúng, phương án A sai.
Tâm của đường tròn là tâm đối xứng của đường tròn đó.
Do đó phương án C đúng
Vậy ta chọn phương án D.."
Toán,9,Đại số,Bài tập,"Cặp số nào sau đây là nghiệm của phương trình 5x + 4y = 8?
A. (–2; 1).
B. (0; 2).
C. (–1; 0).
D. (4; 3).",B,"Xét phương trình 5x + 4y = 8:
+ Thay x = –2 và y = 1, ta có: 5.(–2) + 4.1 = –2 ≠ 8.
+ Thay x = 0 và y = 2, ta có: 5.0 + 4.2 = 8.
+ Thay x = –1 và y = 0, ta có: 5.(–1) + 4.0 = –5 ≠ 8.
+ Thay x = 4 và y = 3, ta có: 5.4 + 4.3 = 32 ≠ 8.
Vậy (0; 2) là nghiệm của phương trình đã cho."
Toán,9,Đại số,Bài tập,"Giải  phương trình:
 x2 – 2x = 3x – 6.",x = 2 và x = 3,"Biến đổi phương trình đã cho về phương trình tích như sau:
x2 – 2x = 3x – 6
x2 – 2x – 3x + 6 = 0
(x2 – 2x) – (3x – 6) = 0
x(x – 2) – 3(x – 2) = 0
(x – 2)(x – 3) = 0
Ta giải hai phương trình sau:
+ x – 2 = 0 suy ra x = 2.
+x – 3 = 0 suy ra x = 3.
Vậy phương trình đã cho có hai nghiệm là x = 2 và x = 3."
Toán,9,Đại số,Bài tập,"Nghiệm của phương trình (x + 3)(x - 1) = 0 là
A. x = 1;
B. x = -3;
C. x = 1; x = -3;
D. x = -1; x = -3",C,"Ta có (x + 3)(x - 1) = 0
Nên x + 3= 0 hoặc x - 1 = 0.
+ x + 3 = 0 suy ra x = -3.
+ x - 1 = 0 suy ra x = 1.
Vậy phương trình đã cho có hai nghiệm là x = -3 và x = 1."
Toán,9,Đại số,Bài tập,"Cho a > b. Khi đó ta có:
A. 2a > 7b.
B. 2a > 2b + 1.
C. 5a + 2 > 5b + 2.
D. –6a < –6b – 1.",C,"Ta có: a > b, suy ra 5a > 5b, do đó 5a + 2 > 5b + 2."
Toán,9,Đại số,Bài tập,Giải bất phương trình: 2x – 5 < 4 – x,x < 3,"Ta có: 2x – 5 < 4 – x
2x + x < 5 + 4
3x < 9
x < 3"
Toán,9,Đại số,Bài tập,"Tìm x sao cho: Giá trị của biểu thức 3x – 9 là số dương
","x > 3
","Giá trị của biểu thức 3x – 9 là số dương. Ta có:
3x – 9 > 0
3x > 9
x > 3
"
Toán,9,Đại số,Bài tập," Tìm giá trị của x, biết:
 x2 + 36 = 0",Vô nghiệm,"Xét biểu thức: x2 + 36 = 0 hay x2 = −36
Suy ra biểu thức vô nghiệm vì x2 ≥ 0 ∀x."
Toán,9,Đại số,Bài tập,Giải bất phương trình: 11x – 5 < 0.,x < 3,"
Ta có:5x – 15 < 0
5x < 15
x < 3"
Toán,9,Đại số,Bài tập,Giải phương trình 2x(5x + 1) = 0,Phương trình  hai nghiệm là x = 0 và x = -1/5,"Ta có 2x(5x + 1) = 0
Nên 2x = 0 hoặc 5x + 1 = 0
+ 2x = 0, suy ra x = 0.
+ 5x + 1 = 0 hay 5x = –1, suy ra x =1/5
Vậy phương trình đã cho có hai nghiệm là x = 0 và x = -1/5"
Toán,9,Đại số,Bài tập,"Giải hệ phương trình 2x+3y=7(1)
                                         x-10y = -8 (2)",Hệ phương trình  có nghiệm duy nhất (2; 1),"Từ phương trình (2), ta có: x = 10y – 8. (3)
Thế vào phương trình (1) ta được: 2.(10y – 8) + 3y = 7. (4)
Giải phương trình (4):
2.(10y – 8) + 3y = 7
20y – 16 + 3y = 7
23y = 23
y = 1.
Thay y = 1 vào phương trình (3), ta có:
x = 10.1 – 8 = 2.
Vậy hệ phương trình đã cho có nghiệm duy nhất (2; 1)."
Toán,9,Đại số,Bài tập,Giải phương trình x – 2y = 3,"Nghiệm của phương trình là x = 3, y = 0","
Thay x = 3 và y = 0, ta có: 3 – 2.0 = 3.
Vậy (3; 0) là một nghiệm của phương trình đã cho."
Toán,9,Đại số,Bài tập,Giải phương trình (2x + 4)(3x + 12) = 0.,x =- 2 và x = 4,"Ta có (2x + 4)(3x - 12) = 0
Nên 2x + 4 = 0 hoặc 3x - 12 = 0
+ 2x + 4 = 0 hay 2x = –4, suy ra x = –2
+ 3x - 12 = 0 hay 3x = 12, suy ra x = 4
Vậy phương trình đã cho có hai nghiệm là x = –2 và x = 4"
Toán,9,Đại số,Bài tập,Giải phương trình (x – 7)(2x + 10) = 0,x = 7 và x = -5,"Ta có  (x – 7)(2x + 10) = 0
Nên x – 7 = 0 hoặc 2x + 10 = 0
+ x – 7 = 0 suy ra x = 7
+ 2x + 10 = 0 hay 2x + 10, suy ra x = -5
Vậy phương trình đã cho có hai nghiệm là x = 7 và x = -5"
Toán,9,Đại số,Bài tập,Giải phương trình x(3x + 5) – 9x – 15 = 0,x = -5/3 và x = 3,"Biến đổi phương trình đã cho về phương trình tích như sau:
x(3x + 5) – 9x – 15 = 0
x(3x + 5) – 3(3x + 5) = 0
(3x + 5)(x – 3) = 0
Ta giải hai phương trình sau:
+ 3x + 5 = 0 hay 3x = -5 suy ra x = -5/3
+ x -3 = 0 suy ra x = 3"
Toán,9,Đại số,Bài tập,Xác định vế trái và vế phải của bất đẳng thức sau: –3x + 2 > 7,"Vế trái là –3x + 2, vế phải là 7",
Toán,9,Đại số,Bài tập,Xác định vế trái và vế phải của bất đẳng thức sau: 2x – 1 ≤ 3x + 5,"Vế trái là 2x – 1, vế phải là 3x + 5",
Toán,9,Đại số,Bài tập,"Cho m > n, hãy so sánh: 4m +5 và 4n +5",4m +5 > 4n +5,"Vì m > n nên 4a >4b, suy ra 4m +5 > 4n +5.
Vậy 4m +5 > 4n +5"
Toán,9,Đại số,Bài tập,"Cho m > n, hãy so sánh: –2m –11 và –2n –11",–2m –11 và –2n –11,"Vì m > n nên –2m < –2n, suy ra –2m –11 và –2n –11.
Vậy –2m –11 và –2n –11"
Toán,9,Đại số,Bài tập,Giải bất phương trình: 2x – 18 < 2 – 3x,x < 4,"Ta có: 2x – 18 < 2 – 3x
2x + 3x < 18 + 2
5x < 20
x < 4
Vậy nghiệm của bất phương trình là x < 4"
Toán,9,Đại số,Bài tập,Giải bất phương trình: 3 + 2x > 7 – 5x,x > 4/7,"Ta có: 3 + 2x > 7 – 5x
2x + 5x > 7 – 3
7x > 4
x > 4/7
Vậy nghiệm của bất phương trình là x > 4/7"
Toán,9,HÌnh học,Bài tập,"Cho đường tròn (G; 7 cm) và đường thẳng a và d là khoảnh cách từ G đến a. Không vẽ hình, xác định vị trí tương đối của đường thẳng m và đường tròn (G; 7 cm) trong mỗi trường hợp  d = 7 cm",tiếp xúc với nhau,"Ta có d = 7 cm; R = 7 cm.
Vì d = R nên đường thẳng a và đường tròn (G; 7 cm) tiếp xúc với nhau"
Toán,9,HÌnh học,Bài tập,"Cho đường tròn (G; 7 cm) và đường thẳng a và d là khoảnh cách từ G đến a. Không vẽ hình, xác định vị trí tương đối của đường thẳng m và đường tròn (G; 7 cm) trong mỗi trường hợp  d = 9 cm",không giao nhau,"Ta có d = 9 cm; R = 7 cm.
Vì d > R nên đường thẳng m và đường tròn (G; 7 cm) không giao nhau"
Toán,9,HÌnh học,Bài tập,"Xác định vị trí tương đối giữa hai đường tròn (I; R) và (I’; R’) trong  trường hợp  II’ = 15 cm; R = 3 cm; R’ = 7 cm.

 ",(I; 3 cm) và (I’; 7 cm) là hai đường tròn ở ngoài nhau," Ta có R + R’ = 3 + 7 = 10 (cm).
Suy ra II’ > R + R’.
Vậy (I; 3 cm) và (I’; 7 cm) là hai đường tròn ở ngoài nhau."
Toán,9,HÌnh học,Bài tập,Xác định vị trí tương đối giữa hai đường tròn (I; R) và (I’; R’) trong  trường hợp  II’ = 0 cm; R = 5 cm; R’ = 1 cm,(I; 5 cm) đựng đường tròn (I’; 1 cm) và hai đường tròn này đồng tâm,"Ta có II’ = 0 khi và chỉ khi I ≡ I’(1)
Lại có R – R’ = 5 – 1 = 4 (cm).
Suy ra II’ < R – R’(2)
Từ (1), (2), ta có đường tròn (I; 5 cm) đựng đường tròn (I’; 1 cm) và hai đường tròn này đồng tâm"
Toán,9,HÌnh học,Bài tập,Xác định vị trí tương đối của hai đường tròn (O; R) và (O’; R’) trong trường hợp OO’ = 15; R = 8; R’ = 7.,tiếp xúc ngoài,"Ta có 15 = 8 + 7 nên OO’ = R + R’, suy ra hai đường tròn (O; R) và (O’; R’) tiếp xúc ngoài"
Toán,9,HÌnh học,Bài tập,Xác định vị trí tương đối của hai đường tròn (O; R) và (O’; R’) trong trường hợp OO’ = 0; R = 7; R’ = 5.,đồng tâm,"a có 0 < 7 – 5 nên 0 = OO’ < R – R’, suy ra đường tròn (O; R) và (O’; R’) đồng tâm và đường tròn (O; R) đựng đường tròn (O’; R’)."
Toán,9,Đại số,Bài tập,Tìm x sao cho: Giá trị của biểu thức 6x - 12 không âm,x > 2,"Giá trị của biểu thức 6x - 12 không âm Ta có:
6x - 12 > 0
6x > 12
x > 2"
Toán,9,HÌnh học,Bài tập,"Tính tỉ sô 2 đoạn thẳng AB = 2 cm và CD = 4 cm 
",AB/CD = 1/2,Ta có AB/CD =2/4 = 1/2 
Toán,9,Đại số,Bài tập,"Khi x ≥ 3, kết quả rút gọn của biểu thức 2x + |x -3| -1 là:
A. 3x+2
B. 3x-4
C. x+2
D. 4-3x",B,"Khi x ≥ 3 thì |x - 3|= x - 3  ta có biểu thức:
2x-|x -3|-1 = 2x - x -3 -1 =3x -4"
Toán,9,Đại số,Lý thuyết,Phương trình bậc hai là gì ?,"Phương trình bậc hai) là phương trình có dạng ax2 +bx +c = 0
trong đó x là ẩn; a, b, c là những số cho trước gọi là hệ số và a ≠ 0",
Toán,9,Đại số,Lý thuyết,Pi bằng bao nhiêu ?,"Pi xấp xỉ bằng 2,14…..",
Toán,9,Đại số,Lý thuyết,Công thức diện tích hình tròn bán kính r,S = π.r2,
Toán,9,Đại số,Lý thuyết,Định lí Viète,"Nếu x1, x2 là hai nghiệm của phương trình ax2 + bx + c = 0 (a ≠ 0) thì:
x1+x2 = -b/a (1)
x1.x2 = c/a (2)
",
Toán,9,Đại số,Bài tập,Tính tổng nghiệm của mỗi phương trình bậc hai 3x2 + 4x – 5 = 0,x1+x2 = -4/3,"Vì b = 4 nên b’ = 2.
Ta có: ∆’ = b’2 – ac = 22 – 3.(–5) = 19 > 0.
Do đó, phương trình có hai nghiệm phân biệt x1, x2
Theo định lí Viète, ta có:
x1+x2 = -b/a = -4/3"
Toán,9,Đại số,Bài tập,Tính tích các nghiệm của mỗi phương trình bậc hai 3x2 + 4x – 5 = 0,x1.x2 = -5/3,"Vì b = 4 nên b’ = 2.
Ta có: ∆’ = b’2 – ac = 22 – 3.(–5) = 19 > 0.
Do đó, phương trình có hai nghiệm phân biệt x1, x2
Theo định lí Viète, ta có:
x1.x2 = c/a = 5/3"
Toán,9,Đại số,Bài tập,"Tổng  hai nghiệm của phương trình 5x2 + 20x + 6 = 0 bằng:
A. -4
B. 2
C. 4 
D. 5/2",A,"Vì b = 20 nên b’ = 10.
Ta có: ∆’ = b’2 – ac = 100 – 5.6 = 70 > 0.
Do đó, phương trình có hai nghiệm phân biệt x1, x2
Theo định lí Viète, ta có:
x1+x2 = -b/a = -4"
Toán,9,Đại số,Bài tập,"Tích hai nghiệm của phương trình 5x2 + 20x + 5 = 0  bằng:
A. 2
B. 1
C. 4 
D. 6/5",B,"Vì b = 20 nên b’ = 10.
Ta có: ∆’ = b’2 – ac = 100 – 5.5 = 75 > 0.
Do đó, phương trình có hai nghiệm phân biệt x1, x2
Theo định lí Viète, ta có:
x1.x2 = c/a = 1"
Toán,9,Đại số,Bài tập,"Tổng  hai nghiệm của phương trình 4x2 + 12x + 6 = 0 bằng:
A. 2
B. 6/4
C. -4 
D. -3",D,"Vì b = 12 nên b’ = 6.
Ta có: ∆’ = b’2 – ac = 36 – 4.6 = 12 > 0.
Do đó, phương trình có hai nghiệm phân biệt x1, x2
Theo định lí Viète, ta có:
x1+x2 = -b/a = -3"
Toán,9,Đại số,Bài tập,"Tích hai nghiệm của phương trình 6x2 + 20x + 6 = 0 bằng:
A. 2
B. 3
C. 1
D. 5/2",C,"Vì b = 20 nên b’ = 10.
Ta có: ∆’ = b’2 – ac = 100 – 6.6 = 64 > 0.
Do đó, phương trình có hai nghiệm phân biệt x1, x2
Theo định lí Viète, ta có:
x1.x2 = c/a = 1"
Toán,9,Đại số,Bài tập,"Tổng  hai nghiệm của phương trình 3x2 + 12x + 4 = 0 bằng:
A. -2
B. 5/2
C. -4 
D. 4",C,"Vì b = 12 nên b’ = 6.
Ta có: ∆’ = b’2 – ac = 36 – 3.4 = 24 > 0.
Do đó, phương trình có hai nghiệm phân biệt x1, x2
Theo định lí Viète, ta có:
x1+x2 = -b/a = -4"
Toán,9,Đại số,Bài tập,"Tích hai nghiệm của phương trình 2x2 + 12x + 8 = 0 bằng:
A. 2
B. 5/2
C. 4 
D. 6",C,"Vì b = 12 nên b’ = 6.
Ta có: ∆’ = b’2 – ac = 36 – 2.8 = 20 > 0.
Do đó, phương trình có hai nghiệm phân biệt x1, x2
Theo định lí Viète, ta có:
x1.x2 = c/a = 6"
Toán,9,Đại số,Lý thuyết,Các bước giải một bài toán bằng cách lập phương trình,"Bước 1. Lập phương trình:
– Chọn ẩn số và đặt điều kiện thích hợp cho ẩn số.
– Biểu diễn các đại lượng chưa biết theo ẩn và các đại lượng đã biết.
– Lập phương trình biểu thị mối quan hệ giữa các đại lượng.
Bước 2. Giải phương trình.
Bước 3. Trả lời: Kiểm tra xem trong các nghiệm của phương trình, nghiệm nào thỏa mãn điều kiện của ẩn, nghiệm nào không, rồi kết luận.",
Toán,9,Đại số,Bài tập,"Một công ty vận tải điều một số xe tải để chở 50 tấn hàng. Khi đến kho hàng thì có 3 xe bị hỏng nên để chở hết số hàng thì mỗi xe còn lại phải chở thêm 0,6 tấn so với dự định ban đầu. Giả sử x là số xe công ty vận tải cần điều đi để chở hàng và công ty đó điều đi không quá 25 xe tải. Khi đó điều kiện của ẩn x là:
A. 0 < x < 26;

B. 0 < x ≤ 25 và x ∈ ℕ;

C. 0 < x ≤ 25;

D. 0 < x ≤ 26 và x ∈ ℕ.",B,"Gọi x là số xe công ty vận tải cần điều đi để chở hàng, khi đó x ∈ ℕ*.

Mà công ty đó điều đi không quá 25 xe tải nên ta có điều kiện: 0 < x ≤ 25 và x ∈ ℕ.

Vậy ta chọn phương án B."
Toán,9,Đại số,Lý thuyết,Tần số của một giá trị là gì ?,Tần số của một giá trị là số lần xuất hiện giá trị đó trong mẫu dữ liệu.,
Toán,9,Đại số,Bài tập,"Số cuộc gọi đến một tổng đài hỗ trợ khách hàng mỗi ngày trong tháng 01/2024 được ghi lại như sau:

4 2 6 3 6 3 2 5 4 2
5 4 3 3 3 3 5 4 4 3
4 6 5 3 6 3 5 3 5 5

Trong bảng số liệu trên, có bao nhiêu giá trị có tần số lớn hơn 4?

A. 1.

B. 2.

C. 3.

D. 4.",C,Ta thấy có 3 giá trị có tần số lớn hơn 4 là 3; 4; 5.
Toán,9,Đại số,Lý thuyết,Phép thử là gì ?,"Một hoặc một số hành động, thực nghiệm được tiến hành liên tiếp hay đồng thời mà kết quả của chúng không thể biết được trước khi thực hiện nhưng có thể liệt kê được tất cả các kết quả có thể xảy ra, được gọi là một phép thử ngẫu nhiên, gọi tắt là phép thử.",
Toán,9,Đại số,Bài tập,"Chọn bất kỳ một số tự nhiên có 1 chữ số. Số kết quả có thể có của phép thử là:

A. 7.

B. 8.

C. 9.

D. 10.",D,Có 10 kết quả có thể xảy ra là 0; 1; 2; 3; 4; 5; 6; 7; 8; 9.
Toán,9,Đại số,Lý thuyết,Không gian mẫu của phép thử là gì ?,Tập hợp tất cả các kết quả có thể xảy ra của phép thử (gọi tắt là tập tất cả các kết quả có thể của phép thử) được gọi là không gian mẫu của phép thử.,
Toán,9,Đại số,Bài tập,"Kích thước không gian mẫu của phép thử “Bạn An liệt kê các số có 2 chữ số chia hết cho 5” là

A. 17.

B. 18.

C. 19.

D. 20.",C,Kích thước không gian mẫu của phép thử là: (95-10)/5 +1 = 18
Toán,9,Đại số,Bài tập,"Một hộp có 12 chiếc thẻ cùng loại, mỗi thẻ được ghi một trong các số 1; 2; 3;...; 12; hai thẻ khác nhau thì ghi hai số khác nhau. Xét phép thử “Rút ngẫu nhiên một thẻ trong hộp”. Nêu những kết quả có thể xảy ra đối với số xuất hiện trên thẻ được rút ra.",Các kết quả có thể có là: 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,
Toán,9,Hình học,Lý thuyết,Góc nội tiếp là gì ?,Góc nội tiếp của đường tròn là góc có đỉnh nằm trên đường tròn và hai cạnh chứa hai dây cung của đường tròn đó.,
Toán,9,Hình học,Lý thuyết,Cung bị chắn là gì ?,Cung nằm bên trong góc được gọi là cung bị chắn.,
Toán,9,Hình học,Bài tập,"Khẳng định nào sau đây là sai?

A. Góc nội tiếp của đường tròn là góc có đỉnh nằm trên đường tròn và hai cạnh chứa hai dây cung của đường tròn;

B. Trong một đường tròn, góc nội tiếp có số đo bằng nửa số đo của cung bị chắn;

C. Trong một đường tròn, các góc nội tiếp chắn các cung bằng nhau thì bằng nhau;

D. Trong một đường tròn, góc nội tiếp chắn cung nhỏ có số đo bằng số đo của góc ở tâm chắn cùng một cung.",D,"Phương án A, B, C đúng.

Phương án D sai. Sửa lại: Góc nội tiếp chắn cung nhỏ có số đo bằng nửa số đo của góc ở tâm chắn cùng một cung.

Vậy ta chọn phương án D."
